,Incident Zip,Complaint Type,complaint_rate,rank
17,10467,2078,7.682070240295749,1
2,10452,1729,6.391866913123844,2
18,10468,1729,6.391866913123844,2
3,10453,1676,6.195933456561923,4
7,10457,1633,6.036968576709796,5
8,10458,1575,5.822550831792976,6
6,10456,1565,5.785582255083179,7
22,10472,1245,4.602587800369686,8
10,10460,1198,4.4288354898336415,9
16,10466,1185,4.380776340110906,10
13,10463,1161,4.292051756007393,11
12,10462,1093,4.040665434380776,12
11,10461,1018,3.7634011090573014,13
19,10469,1005,3.7153419593345656,14
9,10459,946,3.497227356746765,15
1,10451,910,3.364140480591497,16
15,10465,821,3.0351201478743066,17
23,10473,811,2.9981515711645104,18
5,10455,766,2.831792975970425,19
4,10454,578,2.1367837338262476,20
21,10471,359,1.3271719038817005,21
24,10474,341,1.2606284658040665,22
20,10470,331,1.2236598890942698,23
25,10475,222,0.8207024029574861,24
14,10464,120,0.4436229205175601,25
