,Incident Zip,Complaint Type,complaint_rate,rank
25,11226,2516,5.20878620375546,1
20,11221,1819,3.765811647309691,2
6,11207,1819,3.765811647309691,2
7,11208,1688,3.4946069602302137,4
31,11233,1515,3.136451152102354,5
32,11234,1511,3.128170092954889,6
5,11206,1506,3.1178187690205577,7
2,11203,1474,3.051570295840838,8
14,11215,1451,3.0039542057429145,9
12,11213,1427,2.9542678508581246,10
24,11225,1427,2.9542678508581246,10
28,11230,1424,2.948057056497526,12
36,11238,1403,2.904581495973335,13
10,11211,1401,2.9004409663996027,14
15,11216,1389,2.8755977889572075,15
19,11220,1379,2.8548951410885453,16
35,11237,1358,2.8114195805643543,17
22,11223,1335,2.763803490466431,18
11,11212,1315,2.722398194729106,19
34,11236,1307,2.705836076434176,20
8,11209,1294,2.678922634204915,21
13,11214,1285,2.6602902511231186,22
27,11229,1278,2.6457983976150548,23
1,11201,1265,2.618884955385794,24
3,11204,1206,2.4967393329606855,25
17,11218,1204,2.492598803386953,26
33,11235,1193,2.4698258907314243,27
18,11219,1082,2.240026499389272,28
9,11210,1061,2.196550938865081,29
16,11217,1011,2.0930376995217688,30
21,11222,920,1.904643603916941,31
4,11205,877,1.8156222180816926,32
26,11228,707,1.4636772043144317,33
29,11231,697,1.4429745564457694,34
40,11249,579,1.198683311595553,35
30,11232,561,1.1614185454319608,36
23,11224,461,0.9543920667453367,37
37,11239,90,0.1863238308179616,38
39,11242,3,0.0062107943605987205,39
38,11241,2,0.00414052957373248,40
