,Incident Zip,Complaint Type,complaint_rate,rank
31,10031,3750,5.025327651362869,1
32,10032,3235,4.335182653909035,2
4,10002,3071,4.1154083246227655,3
33,10033,3028,4.057784567553805,4
25,10025,2958,3.963978451395031,5
27,10027,2732,3.661118704939562,6
5,10003,2690,3.6048350352442977,7
34,10034,2679,3.5900940741336336,8
29,10029,2674,3.5833936372651496,9
10,10009,2554,3.422583152421538,10
12,10011,2423,3.247031706467262,11
19,10019,2399,3.2148696094985394,12
16,10016,2375,3.182707512529817,13
40,10040,2341,3.137144541824127,14
26,10026,2031,2.72171745597813,15
23,10023,1969,2.63863203880893,16
24,10024,1901,2.5475060973975503,17
14,10013,1740,2.331752030232371,18
36,10036,1673,2.241966176194688,19
3,10001,1670,2.2379459140735976,20
15,10014,1643,2.201763554983785,21
35,10035,1640,2.1977432928626945,22
13,10012,1589,2.1293988368041594,23
22,10022,1547,2.0731151671088957,24
30,10030,1514,2.0288922837769023,25
28,10028,1323,1.7729355954008201,26
39,10039,1262,1.6911902656053175,27
60,10128,1259,1.6871700034842272,28
11,10010,1209,1.620165634799389,29
21,10021,1123,1.504918120661467,30
45,10065,896,1.2007182868323014,31
17,10017,889,1.1913376752164242,32
38,10038,867,1.1618557529950952,33
37,10037,852,1.1417544423896437,34
18,10018,810,1.0854707726943797,35
47,10075,683,0.9152796762348905,36
9,10007,647,0.867036530781807,37
7,10005,370,0.49583232826780305,38
6,10004,350,0.4690305807938678,39
85,10463,250,0.3350218434241913,40
8,10006,182,0.24389590201281122,41
82,10280,94,0.12596821312749593,42
84,10282,82,0.10988716464313474,43
46,10069,70,0.09380611615877356,44
2,10000,67,0.08978585403768326,45
42,10044,55,0.07370480555332208,46
20,10020,43,0.0576237570689609,47
57,10121,39,0.05226340757417384,48
83,10281,25,0.033502184342419125,49
70,10169,19,0.025461660100238537,50
55,10119,16,0.02144139797914824,51
41,10041,12,0.01608104848436118,52
53,10112,10,0.01340087373696765,53
80,10278,8,0.01072069898957412,55
59,10123,8,0.01072069898957412,55
49,10105,8,0.01072069898957412,55
61,10151,8,0.01072069898957412,55
56,10120,7,0.009380611615877355,59
79,10271,7,0.009380611615877355,59
66,10162,7,0.009380611615877355,59
69,10168,7,0.009380611615877355,59
54,10118,6,0.00804052424218059,63
50,10106,6,0.00804052424218059,63
72,10172,6,0.00804052424218059,63
76,10177,5,0.006700436868483825,65
87,12345,5,0.006700436868483825,65
48,10103,4,0.00536034949478706,68
51,10110,4,0.00536034949478706,68
81,10279,4,0.00536034949478706,68
67,10165,3,0.004020262121090295,71
62,10153,3,0.004020262121090295,71
44,10055,3,0.004020262121090295,71
74,10174,2,0.00268017474739353,75
75,10176,2,0.00268017474739353,75
73,10173,2,0.00268017474739353,75
68,10167,2,0.00268017474739353,75
78,10179,2,0.00268017474739353,75
64,10155,2,0.00268017474739353,75
58,10122,1,0.001340087373696765,82
52,10111,1,0.001340087373696765,82
63,10154,1,0.001340087373696765,82
71,10171,1,0.001340087373696765,82
65,10158,1,0.001340087373696765,82
43,10048,1,0.001340087373696765,82
86,11249,1,0.001340087373696765,82
77,10178,1,0.001340087373696765,82
