,Incident Zip,Complaint Type,complaint_rate,rank
39,11385,2410,6.3381022512097624,1
28,11368,1180,3.1033031769408796,2
36,11377,1177,3.095413423101199,3
33,11373,1155,3.0375552282768776,4
48,11419,1120,2.9455081001472756,5
6,11101,1086,2.856090889964233,6
58,11432,1063,2.7956027771933516,7
60,11434,989,2.6009888491479067,8
49,11420,934,2.456343362087103,9
15,11355,894,2.3511466442247,10
35,11375,864,2.272249105827898,11
61,11435,859,2.2590995160950977,12
50,11421,833,2.1907216494845363,13
32,11372,833,2.1907216494845363,13
26,11366,807,2.1223437828739744,15
37,11378,799,2.1013044393014937,16
63,11691,797,2.0960446034083735,17
14,11354,712,1.8725015779507679,18
46,11417,711,1.8698716600042078,19
8,11103,710,1.8672417420576477,20
38,11379,696,1.830422890805807,21
17,11357,694,1.8251630549126867,22
47,11418,681,1.7909741216074058,23
42,11413,671,1.764674942141805,24
11,11106,656,1.7252261729434042,25
59,11433,638,1.677887649905323,26
18,11358,637,1.675257731958763,27
7,11102,628,1.6515884704397223,28
10,11105,627,1.6489585524931623,29
29,11369,596,1.5674310961498001,30
34,11374,568,1.4937933936461183,31
25,11365,564,1.483273721859878,32
41,11412,546,1.4359351988217968,33
16,11356,530,1.3938565116768358,34
45,11416,529,1.3912265937302757,35
21,11361,525,1.3807069219440353,36
52,11423,480,1.2623606143488324,37
51,11422,457,1.2018725015779508,38
27,11367,454,1.1939827477382705,39
30,11370,440,1.1571638964864297,40
43,11414,440,1.1571638964864297,40
24,11364,423,1.1124552913949084,42
66,11694,420,1.1045655375552283,43
56,11429,389,1.0230380812118662,44
9,11104,374,0.9835893120134652,45
62,11436,361,0.9494003787081843,46
44,11415,330,0.8678729223648222,47
40,11411,320,0.8415737428992216,48
55,11428,318,0.8363139070061014,49
64,11692,296,0.7784557121817799,50
54,11427,292,0.7679360403955396,51
53,11426,270,0.7100778455712182,52
22,11362,215,0.5654323585104145,53
20,11360,201,0.5286135072585735,54
65,11693,199,0.5233536713654534,55
23,11363,177,0.46549547654113194,56
3,11004,172,0.4523458868083316,57
57,11430,126,0.33136966126656847,58
2,11001,72,0.18935409215232485,59
5,11040,47,0.12360614348832316,60
68,11697,27,0.07100778455712181,61
12,11109,26,0.06837786661056175,62
4,11005,4,0.010519671786240269,63
67,11695,2,0.005259835893120134,64
31,11371,2,0.005259835893120134,64
13,11237,1,0.002629917946560067,67
19,11359,1,0.002629917946560067,67
1,10044,1,0.002629917946560067,67
