,Incident Zip,Complaint Type,complaint_rate,rank
147,11226,2516,1.6639221210377688,1
188,11385,2410,1.5938204736490553,2
103,10467,2078,1.3742568233372352,3
142,11221,1819,1.2029707226421709,4
128,11207,1819,1.2029707226421709,4
104,10468,1729,1.143450455991376,6
88,10452,1729,1.143450455991376,6
129,11208,1688,1.1163356678504586,8
89,10453,1676,1.1083996322970193,9
93,10457,1633,1.0799621715638619,10
94,10458,1575,1.0416046663889054,11
92,10456,1565,1.034991303427706,12
153,11233,1515,1.0019244886217091,13
154,11234,1511,0.9992791434372292,14
127,11206,1506,0.9959724619566296,15
124,11203,1474,0.9748097004807915,16
31,10031,1453,0.9609216382622727,17
136,11215,1451,0.9595989656700329,18
134,11213,1427,0.9437268945631543,19
146,11225,1427,0.9437268945631543,19
150,11230,1424,0.9417428856747945,21
158,11238,1403,0.9278548234562758,22
132,11211,1401,0.9265321508640358,23
137,11216,1389,0.9185961153105966,24
141,11220,1379,0.9119827523493972,25
157,11237,1359,0.8987560264269984,26
86,10314,1344,0.8888359819851993,27
144,11223,1335,0.8828839553201199,28
32,10032,1320,0.8729639108783207,29
133,11212,1315,0.869657229397721,30
156,11236,1307,0.8643665390287615,31
130,11209,1294,0.8557691671792023,32
135,11214,1285,0.8498171405141228,33
149,11229,1278,0.8451877864412832,34
99,10463,1270,0.8398970960723238,35
123,11201,1265,0.836590414591724,36
4,10002,1248,0.8253476975576851,37
108,10472,1245,0.8233636886693252,38
25,10025,1225,0.8101369627469265,39
125,11204,1206,0.7975715731206475,40
139,11218,1204,0.7962489005284077,41
96,10460,1198,0.7922808827516881,42
155,11235,1193,0.7889742012710884,43
33,10033,1188,0.7856675197904887,44
102,10466,1185,0.7836835109021288,45
177,11368,1180,0.7803768294215292,46
185,11377,1177,0.7783928205331693,47
182,11373,1155,0.7638434220185306,48
197,11419,1120,0.7406966516543327,49
34,10034,1093,0.7228405716590943,50
98,10462,1093,0.7228405716590943,50
116,11101,1086,0.7182112175862548,52
140,11219,1082,0.715565872401775,53
207,11432,1063,0.7030004827754962,54
131,11210,1061,0.7016778101832563,55
5,10003,1059,0.7003551375910164,56
27,10027,1050,0.694403110925937,57
29,10029,1021,0.6752243583384587,58
12,10011,1018,0.6732403494500989,59
97,10461,1018,0.6732403494500989,59
16,10016,1016,0.671917676857859,61
138,11217,1011,0.6686109953772593,62
105,10469,1005,0.6646429776005397,63
209,11434,989,0.6540615968626207,64
75,10301,969,0.6408348709402218,65
10,10009,963,0.6368668531635022,66
95,10459,946,0.6256241361294632,67
80,10306,945,0.6249627998333432,68
198,11420,934,0.617688100576024,69
19,10019,928,0.6137200827993042,70
40,10040,923,0.6104134013187046,71
85,10312,921,0.6090907287264647,72
143,11222,920,0.6084293924303448,73
87,10451,910,0.6018160294691454,74
164,11355,894,0.5912346487312263,75
126,11205,877,0.5799919316971873,76
184,11375,864,0.5713945598476281,77
210,11435,859,0.5680878783670285,78
181,11372,833,0.55089313466791,79
199,11421,833,0.55089313466791,79
26,10026,831,0.5495704620756701,81
101,10465,821,0.5429570991144707,82
109,10473,811,0.5363437361532714,83
175,11366,807,0.5336983909687916,84
186,11378,799,0.528407700599832,85
212,11691,797,0.5270850280075922,86
23,10023,773,0.5112129569007136,87
91,10455,766,0.506583602827874,88
78,10304,763,0.5045995939395141,89
24,10024,749,0.495340885793835,90
163,11354,712,0.47087144283739724,91
195,11417,711,0.4702101065412773,92
