,Unnamed: 0,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,precint_num,name,lat_2,long_2,CMPLNT_FR_DT_1,CMPLNT_Open_year,CMPLNT_Open_month,lat_long_2,lat_long_crime_map,lat_long_crime_map_clean,address_crime_map,zip_code_crime_map
4577,4577,940702181,9/20/2018,12:30:00,9/20/2018,13:50:00,123,9/20/2018,109,GRAND LARCENY,411,"LARCENY,GRAND FROM EATERY, UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,FAST FOOD,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,45-64,WHITE,F,123,123rd Precinct,40.5118659,-77.69423975,9/20/2018,2018,9,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4578,4578,401339332,4/2/2018,0:00:00,7/21/2018,12:00:00,123,7/21/2018,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,COMMERCIAL BUILDING,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,45-64,WHITE HISPANIC,M,123,123rd Precinct,40.5118659,-77.69423975,4/2/2018,2018,4,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4579,4579,207769012,2/20/2018,16:00:00,2/28/2018,14:30:00,123,3/11/2018,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,STORAGE FACILITY,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,45-64,UNKNOWN,F,123,123rd Precinct,40.5118659,-77.69423975,2/20/2018,2018,2,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4580,4580,761908806,2/1/2018,13:00:00,2/1/2018,17:30:00,123,2/2/2018,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",COMPLETED,FELONY,staten island,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,25-44,WHITE,M,123,123rd Precinct,40.5118659,-77.69423975,2/1/2018,2018,2,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4581,4581,964121109,7/8/2018,14:00:00,7/8/2018,14:07:00,123,7/8/2018,105,ROBBERY,396,"ROBBERY,BEGIN AS SHOPLIFTING",COMPLETED,FELONY,staten island,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,,914928,125757,25-44,WHITE,M,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,7/8/2018,2018,7,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4582,4582,675122083,9/2/2018,19:48:00,9/2/2018,19:55:00,123,9/3/2018,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,,914928,125757,UNKNOWN,UNKNOWN,U,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,9/2/2018,2018,9,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4583,4583,692334840,9/5/2018,9:00:00,9/10/2018,17:00:00,123,9/12/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,staten island,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,,914928,125757,25-44,WHITE,M,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,9/5/2018,2018,9,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4584,4584,533038559,6/25/2018,12:30:00,6/25/2018,12:55:00,123,7/2/2018,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,staten island,INSIDE,STORE UNCLASSIFIED,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,6/25/2018,2018,6,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4585,4585,774537004,9/4/2018,13:00:00,9/4/2018,14:00:00,123,9/4/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,45-64,WHITE,F,123,123rd Precinct,40.5118659,-77.69423975,9/4/2018,2018,9,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4586,4586,910490556,4/18/2018,18:15:00,4/18/2018,18:36:00,123,4/20/2018,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,staten island,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0,,,,914928,125757,,,,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,4/18/2018,2018,4,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4587,4587,582699486,5/18/2018,13:55:00,5/18/2018,14:10:00,123,5/18/2018,118,DANGEROUS WEAPONS,793,WEAPONS POSSESSION 3,COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,914928,125757,18-24,BLACK,M,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,E,123,123rd Precinct,40.5118659,-77.69423975,5/18/2018,2018,5,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4588,4588,335068666,7/7/2018,18:38:00,7/7/2018,18:56:00,123,7/9/2018,109,GRAND LARCENY,410,"LARCENY,GRAND FROM RETAIL STORE, UNATTENDED",COMPLETED,FELONY,staten island,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,,914928,125757,45-64,WHITE,M,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,7/7/2018,2018,7,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4589,4589,400220770,5/16/2018,17:00:00,5/16/2018,17:21:00,123,5/16/2018,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,staten island,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,,914928,125757,25-44,WHITE,M,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,5/16/2018,2018,5,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
4590,4590,412249065,7/28/2018,18:01:00,7/28/2018,18:15:00,123,7/30/2018,109,GRAND LARCENY,433,"LARCENY,GRAND FROM STORE-SHOPL",COMPLETED,FELONY,staten island,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,,914928,125757,UNKNOWN,UNKNOWN,U,,40.51158634,-74.24930373,"(40.511586338, -74.249303727)",PATROL BORO STATEN ISLAND,,UNKNOWN,UNKNOWN,D,123,123rd Precinct,40.5118659,-77.69423975,7/28/2018,2018,7,"(40.51158633800003, -74.24930372699998)","(40.51158633800003, -74.24930372699998)","40.51158633800003, -74.24930372699998","139B Main St, Staten Island, NY 10307, USA",10307
