,zip_code_crime_map,OFNS_DESC,crime_rate,rank
20,10467,1251,7.421689606074988,1
8,10455,1182,7.01233981964879,2
11,10458,1136,6.739439962031324,3
10,10457,1083,6.425011865211201,4
4,10451,1064,6.312292358803987,5
21,10468,1023,6.06905552918842,6
5,10452,980,5.813953488372093,7
9,10456,944,5.600379686758425,8
6,10453,887,5.262221167536782,9
12,10459,782,4.639297579496915,10
7,10454,776,4.603701945894637,11
13,10460,770,4.568106312292358,12
25,10472,640,3.7968675842429995,13
19,10466,597,3.541765543426673,14
26,10473,561,3.3281917418130043,15
15,10462,554,3.2866635026103466,16
16,10463,514,3.049359278595159,17
14,10461,449,2.6637399145704794,18
22,10469,441,2.616279069767442,19
18,10465,333,1.9755576649264357,20
28,10475,280,1.6611295681063123,21
27,10474,239,1.4178927384907452,22
23,10470,192,1.1390602752728998,23
24,10471,133,0.7890365448504983,24
17,10464,27,0.16018035121025154,25
2,10035,6,0.03559563360227812,26
1,10034,5,0.029663028001898434,27
29,10550,2,0.011865211200759373,28
30,10705,1,0.005932605600379687,31
31,11205,1,0.005932605600379687,31
0,10032,1,0.005932605600379687,31
3,10040,1,0.005932605600379687,31
32,11208,1,0.005932605600379687,31
