,zip_code_crime_map,OFNS_DESC,crime_rate,rank
34,10035,1346,5.528401856491559,1
35,10036,1328,5.454470776687066,2
2,10001,1311,5.384646979093934,3
4,10003,1091,4.4810448925945705,4
26,10027,1083,4.448186634903684,5
18,10019,1081,4.439972070480962,6
11,10011,1074,4.411221095001437,7
3,10002,1069,4.390684683944634,8
21,10022,935,3.8403088676222943,9
28,10029,923,3.7910214810859655,10
12,10012,836,3.433687928697581,11
14,10014,749,3.076354376309196,12
15,10016,748,3.0722470940978353,13
24,10025,728,2.9901014498706204,14
17,10018,702,2.883312112375241,15
9,10009,599,2.4602620446050847,16
31,10032,593,2.4356183513369203,17
25,10026,587,2.410974658068756,18
10,10010,584,2.3986528114346735,19
13,10013,576,2.365794553743788,20
22,10023,525,2.15632316096439,21
30,10031,515,2.1152503388507826,22
32,10033,504,2.070070234525814,23
33,10034,405,1.6634492956011007,24
16,10017,387,1.5895182157966075,25
55,10128,375,1.5402308292602784,26
23,10024,371,1.5238017004148354,27
42,10065,339,1.3923686696512918,28
29,10030,311,1.277364767733191,29
38,10039,308,1.2650429210991088,30
27,10028,278,1.1418244547582865,31
39,10040,263,1.0802152215878753,32
20,10021,238,0.9775331663038568,33
37,10038,205,0.8419928533289522,34
36,10037,196,0.8050273134267055,35
8,10007,168,0.6900234115086048,36
44,10075,132,0.5421612518996181,37
5,10004,119,0.4887665831519284,38
52,10119,103,0.42305006777015647,39
56,10151,95,0.39019181007927056,40
65,10173,76,0.31215344806341644,41
7,10006,72,0.2957243192179735,42
6,10005,69,0.28340247258389123,43
19,10020,55,0.22590052162484084,44
66,10174,50,0.20536411056803713,45
72,10282,36,0.14786215960898674,46
51,10118,30,0.12321846634082227,47
78,11201,15,0.061609233170411136,48
54,10123,15,0.061609233170411136,48
50,10111,14,0.0575019509590504,50
40,10044,13,0.05339466874768965,51
48,10107,13,0.05339466874768965,51
43,10069,12,0.049287386536328914,53
70,10280,10,0.041072822113607424,54
61,10165,10,0.041072822113607424,54
45,10104,9,0.036965539902246686,56
62,10167,8,0.03285825769088594,57
76,10474,6,0.024643693268164457,59
0,7093,6,0.024643693268164457,59
58,10154,6,0.024643693268164457,59
63,10169,5,0.020536411056803712,61
47,10106,5,0.020536411056803712,61
53,10120,4,0.01642912884544297,64
77,11103,4,0.01642912884544297,64
73,10451,4,0.01642912884544297,64
59,10155,2,0.008214564422721485,68
64,10172,2,0.008214564422721485,68
68,10278,2,0.008214564422721485,68
60,10162,2,0.008214564422721485,68
71,10281,2,0.008214564422721485,68
74,10454,1,0.004107282211360743,75
1,10000,1,0.004107282211360743,75
41,10045,1,0.004107282211360743,75
75,10463,1,0.004107282211360743,75
69,10279,1,0.004107282211360743,75
46,10105,1,0.004107282211360743,75
67,10272,1,0.004107282211360743,75
49,10109,1,0.004107282211360743,75
57,10152,1,0.004107282211360743,75
79,11204,1,0.004107282211360743,75
