,zip_code_crime_map,OFNS_DESC,crime_rate,rank
28,11368,661,5.160836976889444,1
33,11373,643,5.0202998126171146,2
60,11432,611,4.770455965021862,3
67,11691,586,4.57526545908807,4
62,11434,557,4.348844472204872,5
32,11372,544,4.2473454091193,6
6,11101,542,4.231730168644597,7
15,11354,472,3.6851967520299813,8
40,11385,464,3.622735790131168,9
16,11355,369,2.8810118675827607,10
29,11369,362,2.8263585259212993,11
63,11435,344,2.6858213616489692,12
36,11377,340,2.654590880699563,13
8,11103,340,2.654590880699563,13
51,11420,287,2.2407870081199253,15
61,11433,273,2.131480324797002,16
35,11375,270,2.108057464084947,17
48,11417,246,1.920674578388507,18
11,11106,245,1.9128669581511555,19
50,11419,210,1.6396002498438476,20
7,11102,191,1.491255465334166,21
44,11413,191,1.491255465334166,21
27,11367,187,1.4600249843847595,23
25,11365,185,1.4444097439100563,24
37,11378,175,1.3663335415365396,25
43,11412,169,1.3194878201124298,26
34,11374,163,1.2726420986883198,27
19,11358,155,1.2101811367895066,28
68,11692,151,1.1789506558401,29
10,11105,145,1.13210493441599,30
49,11418,144,1.1242973141786383,32
58,11429,144,1.1242973141786383,32
18,11357,144,1.1242973141786383,32
21,11361,137,1.0696439725171767,34
54,11423,134,1.046221111805122,35
45,11414,134,1.046221111805122,35
57,11428,130,1.0149906308557153,37
69,11693,121,0.9447220487195502,38
17,11356,121,0.9447220487195502,38
53,11422,117,0.9134915677701436,40
24,11364,110,0.8588382261086821,41
70,11694,106,0.8276077451592755,42
42,11411,104,0.8119925046845722,43
30,11370,103,0.8041848844472205,44
9,11104,101,0.7885696439725172,45
52,11421,97,0.7573391630231106,46
64,11436,97,0.7573391630231106,46
56,11427,93,0.7261086820737039,48
38,11379,85,0.6636477201748907,49
47,11416,81,0.6324172392254841,50
26,11366,66,0.5153029356652092,51
55,11426,61,0.47626483447845097,52
22,11362,57,0.44503435352904436,53
20,11360,52,0.4059962523422861,54
3,11004,47,0.36695815115552777,55
46,11415,29,0.226420986883198,56
14,11237,19,0.14834478450968144,57
23,11363,15,0.11711430356027483,58
39,11381,13,0.10149906308557152,59
71,11697,11,0.0858838226108682,61
5,11040,11,0.0858838226108682,61
2,11001,11,0.0858838226108682,61
59,11430,7,0.05465334166146159,63
41,11405,7,0.05465334166146159,63
66,11451,6,0.046845721424109935,65
12,11208,5,0.039038101186758274,66
31,11371,4,0.03123048094940662,67
65,11439,2,0.01561524047470331,68
1,10314,1,0.007807620237351655,70
13,11225,1,0.007807620237351655,70
4,11005,1,0.007807620237351655,70
0,10031,1,0.007807620237351655,70
